"","Name","Designation","Department","Qualification"
"960","EMSHWILLER,EVE","Associate Professor","Botany","PHD 1999 Cornell University"
"961","ENDELMAN,JEFFREY","Associate Professor","Horticulture","PHD 2011 Washington State University"
"962","ENDERLE,GORDON","Faculty Associate","Risk &amp; Insurance","BS 1983 Princeton University"
"963","ENDICOTT,SARAH ELISA","Clinical Assoc Prof","Nursing","DNP 2013 Univ of Wisconsin-Madison"
"964","ENDRES,MATTHEW CHARLES","Adjunct Asst Prof","Mead Witter School Of Music","MM 2012 Univ of IL at Urbana-Champaign"
"965","ENGEL,CHARLES","Professor","Economics","PHD 1983 Univ of California Berkeley"
"966","ENGEL,PEYTON BARKLEY","Adjunct Instructor","Law School","JD 2012 Univ of Wisconsin-Madison"
"967","ENGELMAN,CORINNE D","Associate Professor","Population Health Sciences","PHD 2006 Univ of Colorado at Denver"
"968","ENGELMAN,MICHAL","Associate Professor","Sociology","PHD 2010 Johns Hopkins University"
"969","ENGIN,FEYZA SONIYE","Assistant Professor","Biomolecular Chemistry","PHD 2007 Baylor College Of Medicine"
"970","ENGLAND,SAMUEL","Associate Professor","African Cultural Studies","PHD 2011 Univ of California Berkeley"
"971","ENGLE,JONATHAN W","Assistant Professor","Medical Physics","PHD 2011 Univ of Wisconsin-Madison"
"972","ENKE,FINN","Professor","Gender And Women Studies","PHD 1999 Univ of Minnesota-Twin Cities"
"973","ENRIGHT,ROBERT D.","Professor","Educational Psychology","PHD 1976 Univ of Minnesota-Twin Cities"
"974","ENRIQUEZ,FALINA","Assistant Professor","Anthropology","PHD 2014 University of Chicago"
"975","ENSTAD,NAN","Professor","Community &amp; Environ Sociology","PHD 1993 Univ of Minnesota-Twin Cities"
"976","EOM,CHANG-BEOM","Professor","Materials Science&amp;Engineering","PHD 1991 Stanford University"
"977","EPP,AMBER","Associate Professor","Marketing","PHD 2008 University of Nebraska-Lincoln"
"978","EPP,RUSSELL","Senior Lecturer","Accting &amp; Info Sys","MACC 2001 University of Nebraska-Lincoln"
"979","EPPLI,MARK J","Faculty Associate","Graaskamp Ctr For Real Estate","PHD  Univ of Wisconsin-Madison"
"980","ERAKER,BJORN","Professor","Finance","PHD 2001 University of Chicago"
"981","ERBIL ERKAN,NALAN","Assoc Faculty Assoc","Inst Reg Intl Studies","MA 2012 "
"982","ERIKSSON,MARK ALAN","Professor","Physics","PHD 1997 Harvard University"
"983","ERITEN,MELIH","Associate Professor","Mechanical Engineering","PHD 2011 Univ of IL at Urbana-Champaign"
"984","ERKER,TEDWARD","Asst Faculty Assoc","Statistics","MS 2018 Univ of Wisconsin-Madison"
"985","ERLANGER,HOWARD","Professor","Law School","PHD 1971 Univ of California Berkeley"
"986","ERMAKOFF,IVAN","Professor","Sociology","PHD 1997 University of Chicago"
"987","ERMAN,DANIEL M","Associate Professor","Mathematics","PHD 2010 Univ of California Berkeley"
"988","ERSIG,ANNE","Assistant Professor","Nursing","PHD 2008 University of Iowa"
"989","ESCALANTE,JIM","Associate Dean","General Administration","MFA 1981 Univ of Wisconsin-Madison"
"990","ESCHENFELDER,KRISTIN","Professor","Information School","PHD 2000 Syracuse University"
"991","ESCOTT-STUMP,SYLVIA","Assoc Faculty Assoc","Nutritional Sciences"," "
"992","ESSELMAN,BRIAN JOHN","Assoc Faculty Assoc","Chemistry","PHD 2011 Univ of Wisconsin-Madison"
"993","ETZEL,MARK","Professor","Food Science","PHD 1983 Univ of California Berkeley"
"994","EUDEY,GWEN","Senior Lecturer","Economics","PHD 2011 Univ of California Berkeley"
"995","EVANS,CHRISTINE M","Lecturer","Counseling Psychology","MS 2014 Univ of Wisconsin-Madison"
"996","EVANS,DAVID TODD","Professor","Pathology&amp;Laboratory Medicine","PHD 1997 Univ of Wisconsin-Madison"
"997","EVANS,HEIDI","Faculty Associate","English","MA 2011 Univ of Wisconsin-Madison"
"998","EVANS,PAUL G.","Professor","Materials Science&amp;Engineering","PHD 2000 Harvard University"
"999","EVANS-ROMAINE,KAREN","Professor","German, Nordic &amp; Slavic","PHD 1996 Univ of Michigan at Ann Arbor"
"1000","EVERETT,LISA L","Professor","Physics","PHD 1998 University of Pennsylvania"
"1001","EWER,ALISSA","Assistant Dean/L","Graduate School"," "
"1002","FABRY,ZSUZSANNA","Professor","Pathology&amp;Laboratory Medicine","PHD 1984 Eotvos Lorand University"
"1003","FAHL,WILLIAM E","Professor","Oncology","PHD 1975 Univ of Wisconsin-Madison"
"1004","FAHRENBACH,ROBERT","Adjunct Instructor","Law School","JD 1977 Northwestern University"
"1005","FAIN,SEAN BEDILLION","Professor","Medical Physics","PHD 2000 Mayo Foundation"
"1006","FAIRBANKS,MARIANNE","Assistant Professor","School Of Human Ecology","MFA 2001 Chicago Academy Of Fine Arts"
"1007","FALK,KATHLEEN MARY","Faculty Associate","Academic Programs","JD  Univ of Wisconsin-Madison"
"1008","FALK,MICHAEL EDWARD","Adjunct Professor","Ms In Biotechnology Degree Prg","JD 1997 Univ of Wisconsin-Madison"
"1009","FALL,PAPA","Assoc Lecturer","Social Work","MSW 2015 Univ of Wisconsin-Madison"
"1010","FAMAKIN,BOLANLE M","Assistant Professor","Neurology","MD 2000 University of Iowa"
"1011","FAN,JING","Assistant Professor","Nutritional Sciences","PHD 2014 Princeton University"
"1012","FAN,SHUXING","Assistant Professor","Theatre &amp; Drama","MFA 1991 Boston University"
"1013","FANG,HANLONG","Visiting Asst Prof","Mathematics","PHD  "
"1014","FARRELL,ROBERT M","Assistant Professor","Electrical &amp; Computer Engr","PHD 2010 "
"1015","FAWAZ,KASSEM","Assistant Professor","Electrical &amp; Computer Engr","PHD 2017 University of MI"
"1016","FAWAZ,RAMZI","Associate Professor","English","PHD 2012 George Washington University"
"1017","FECU,YANIE","Assistant Professor","English","PHD 2018 Princeton University"
"1018","FEDENIA,MARK A.","Associate Professor","Finance","PHD 1988 Univ of Wisconsin-Madison"
"1019","FEIGL,KURT","Professor","Geoscience","PHD 1991 Massachusetts Inst Of Tech"
"1020","FEINSTEIN,NOAH WEETH","Associate Professor","Curriculum And Instruction","PHD 2008 Stanford University"
"1021","FELDMAN,MIKHAIL","Professor","Mathematics","PHD 1994 Univ of California Berkeley"
"1022","FELDSTEIN,DAVID ALAN","Assoc Professor (CHS)","Medicine","MD 1996 SUNY At Stony Brook"
"1023","FELTON,ELIZABETH","Assistant Professor","Neurology","PHD 2007 Univ of Wisconsin-Madison"
"1024","FENDRICK,CINDY","Instructl Prg Mgr Ii","Computer Sciences","MSED 2015 University of Nebraska-Lincoln"
"1025","FENG,DAWEI","Assistant Professor","Materials Science&amp;Engineering","PHD 2015 Texas A &amp; M University"
"1026","FERGUSON,JEANNE MARIE BYRON","Lecturer","Social Work","MSSW 1984 Univ of Wisconsin-Madison"
"1027","FERNANDES,EARLENCE","Assistant Professor","Computer Sciences","PHD 2017 Univ of Michigan at Ann Arbor"
"1028","FERNANDEZ,DONNA","Professor","Botany","PHD 1987 Univ of Colorado at Boulder"
"1029","FERNANDEZ,LUIS A","Professor","Surgery","MD 1987 Universidad Central-Venezuela"
"1030","FERNANDEZ,RICARDO","Clinical Instructor","Medical Sciences","DVM 2013 Louisiana State U-Baton Rouge"
"1031","FERRAZZANO,PETER","Assoc Professor (CHS)","Pediatrics","MD 1999 St Louis University"
"1032","FERREE,MYRA MARX","Professor","Sociology","PHD 1976 Harvard University"
"1033","FERREIRA,TATIANA HENRIQUES","Clinical Asst Prof","Surgical Sciences","DVM 2005 Univ Federal Fluminense"
"1034","FERRIER,KEN","Assistant Professor","Geoscience","PHD 2009 Univ of California Berkeley"
"1035","FERRIS,MICHAEL","Professor","Computer Sciences","PHD 1988 University of Cambridge"
"1036","FETTIPLACE,ROBERT","Professor","Department Of Neuroscience","PHD 1974 University of Cambridge"
"1037","FIEDLER,NOAH DAVID","Adjunct Instructor","Law School","JD 1995 "
"1038","FIEGEL-NEWLON,JENNIFER ANN","Clinical Assoc Prof","Nursing","DNP 2012 Univ of Wisconsin-Madison"
"1039","FIELD,AARON S","Professor","Radiology","PHD 1993 Univ of Illinois at Chicago"
"1040","FIELDER,BRIGITTE","Assistant Professor","Comp Lit &amp; Folklore Studies","PHD 2012 Cornell University"
"1041","FIELDS,BETH","Assistant Professor","Kinesiology","PHD 2017 Colorado State University"
"1042","FIELDS,DAVID","Asst Faculty Assoc","Asian Studies","PHD  "
"1043","FINDLEY,KEITH","Associate Professor","Law School","JD 1985 Yale University"
"1044","FINLEY,KATHRYN BELLIS","Clinical Asst Prof","Law School","JD 2009 Stanford University"
"1045","FINNEY,MISHA","Visiting Asst Prof","Communication Sci &amp; Disorders","PHD 2011 Univ of Wisconsin-Madison"
"1046","FIORE,MICHAEL C","Professor","Medicine","MD 1981 Northwestern University"
"1047","FIORENZA,MARY E.","Faculty Associate","English","PHD 2009 Univ of Wisconsin-Madison"
"1048","FISCHER,COLLETTE","Lecturer","Educational Psychology","PHD 2015 Univ of Wisconsin-Madison"
"1049","FISCHER,ISMOR","Senior Lecturer","Statistics","PHD 2016 Univ of Wisconsin-Madison"
"1050","FISCHER,MARTHA","Professor","Mead Witter School Of Music","MA 1982 New England Cnsrvtry Of Music"
"1051","FISH,JEFFREY","Clinical Asst Prof","Pharmacy","PHARMD 1993 Univ of Minnesota-Twin Cities"
"1052","FISHER,MADELINE MARY","Lecturer","Life Sciences Communication","PHD 1998 Univ of Wisconsin-Madison"
"1053","FISHLER,THERESA","Asst Faculty Assoc","Social Work","MSW 1989 Univ of Wisconsin-Madison"
"1054","FITZPATRICK,LAUREN","Assistant Professor","Social Work","PHD 2015 University of Pittsburgh"
"1055","FITZSIMONS,SARAH","Assistant Professor","Art","MFA 2005 Univ of California Los Angeles"
"1056","FLAHERTY,MICHAEL","Senior Lecturer","Life Sciences Communication","BA 1978 Univ of Minnesota-Twin Cities"
"1057","FLANAGAN,BILL","Lecturer","Ed Leadership&amp;Policy Analysis","PHD 1991 Univ of Wisconsin-Madison"
"1058","FLANAGAN,CONSTANCE","Professor","School Of Human Ecology","PHD 1987 Univ of Michigan at Ann Arbor"
"1059","FLANARY,PETER WILLIAM","Lecturer","Art","MFA 1988 Univ of Wisconsin-Madison"
"1060","FLEIG,JEFFREY","Lecturer","Ed Leadership&amp;Policy Analysis","EDM 1998 Univ of Wisconsin-Superior"
"1061","FLETCHER,EMILY RUTH","Associate Professor","Philosophy","PHD 2012 University of Toronto"
"1062","FLETCHER,JASON M","Professor","Lafollette Sch Of Publ Affairs","PHD 2006 Univ of Wisconsin-Madison"
"1063","FLUGA,ERIC","Adjunct Asst Prof","Engr Professional Development","MS 2017 Univ of IL at Urbana-Champaign"
"1064","FLYNN,MAXFIELD PATRICK","Asst Professor (CHS)","Medicine","PHD 2007 Northwestern University"
"1065","FOLEY,EUGENE F","Professor","Surgery","MD 1985 Harvard University"
"1066","FOLTZ,JEREMY","Professor","Agricultural&amp;Applied Economics","PHD 1998 Univ of Wisconsin-Madison"
"1067","FONCK,RAYMOND JOHN","Professor","Engineering Physics","PHD 1978 Univ of Wisconsin-Madison"
"1068","FONDOW,STEVEN RICHARD","Lecturer","Acad&amp;Prg-Noncredit","PHD 2011 Ohio State University"
"1069","FORD II,JAMES H.","Assistant Professor","Pharmacy","PHD 2004 Univ of Wisconsin-Madison"
"1070","FOREST,CARY BRETT","Professor","Physics","PHD 1992 Princeton University"
"1071","FOREST,KATRINA T.","Professor","Bacteriology","PHD 1993 Princeton University"
"1072","FORREST,LISA J.","Professor","Surgical Sciences","DVM 1988 University of Pennsylvania"
"1073","FORSTER BENEDICT,STACY","Faculty Associate","Journalism&amp;Mass Communication","MS 1999 Northwestern University"
"1074","FOST,NORMAN","Professor Emer","Pediatrics","MD 1964 Yale University"
"1075","FOURNELLE,JOHN H","Senior Scientist","Geoscience","PHD 1988 Johns Hopkins University"
"1076","FOWLER,AMY MARIE","Assistant Professor","Radiology","PHD 2005 Univ of Wisconsin-Madison"
"1077","FOWLER,CYNTHIA","Professor","Communication Sci &amp; Disorders","PHD 1980 Northwestern University"
"1078","FOX,ASHBY KENT","Assoc Lecturer","Law School","JD 2003 Emory University"
"1079","FOX,BRIAN G.","Professor","Biochemistry","PHD 1989 Univ of Minnesota-Twin Cities"
"1080","FOX,CATHERINE A","Professor","Biomolecular Chemistry","PHD 1992 Univ of Wisconsin-Madison"
"1081","FOYS,MARTIN","Professor","English","PHD 1998 Loyola University of Chicago"
"1082","FRANCE,KATY","Assoc Lecturer","Counseling Psychology","JD 2005 Univ of Wisconsin-Madison"
"1083","FRANCETIC LEPE,LINDA","Assoc Lecturer","Consumer Science","MS 1986 Ohio State University"
"1084","FRANCHINO,DAVID CHARLES","Adjunct Asst Prof","Mechanical Engineering","MS 1993 Stanford University"
"1085","FRANCIS,DAVID OLIVER","Associate Professor","Surgery","MD 2004 University Of Rochester"
"1086","FRANCK,CHRISTIAN","Associate Professor","Mechanical Engineering","PHD 2008 "
"1087","FRANCK,JENNIFER","Assistant Professor","Engineering Physics","PHD 2009 California Institute of Tech"
"1088","FRANCOIS,CHRISTOPHER J","Professor (CHS)","Radiology","MD 2000 Northwestern University"
"1089","FRANCOIS,MARY","Clinical Asst Prof","Nursing","DNP 2016 Univ of Wisconsin-Madison"
"1090","FRANK,CHRISTINA","Lecturer","Administration-Acad Affairs","MS 2014 Univ of Wisconsin-Madison"
"1091","FRANK,HEIDI","Assoc Faculty Assoc","Social Work","MSW 2005 College Of St Catherine"
"1092","FRANTZ,EVA","Clinical Instructor","Medical Sciences","DVM 2017 Univ of Wisconsin-Madison"
"1093","FRANTZEN,DIANA L","Professor","Spanish And Portuguese","PHD 1988 Indiana State University"
"1094","FRATTA,DANTE","Associate Professor","Civil &amp; Environmental Engr","PHD 1999 Georgia Inst of Technology"
"1095","FREDETTE,STEVEN","Lecturer","Electrical &amp; Computer Engr","PHD 2009 Univ of Wisconsin-Madison"
"1096","FREDRICKSON,DANIEL C","Professor","Chemistry","PHD 2005 Cornell University"
"1097","FREELAND,ROBERT F","Professor","Sociology","PHD 1994 Univ of California Berkeley"
"1098","FREEMAN,KATIE","Asst Faculty Assoc","Nutritional Sciences","MPA 2012 "
"1099","FREID,MATTHEW","Lecturer","Curriculum And Instruction","MS 2011 DePaul University"
"1100","FREYBERGER,HANS JOACHIM","Associate Professor","Economics","PHD 2013 Northwestern University"
"1101","FRICKE,PAUL","Professor","Dairy Science","PHD 1996 North Dakota State University"
"1102","FRIEDL,ANDREAS","Professor","Pathology&amp;Laboratory Medicine","MD 1987 Ghazali Col"
"1103","FRIEDLAND,LEWIS","Professor","Journalism&amp;Mass Communication","PHD 1985 Brandeis University"
"1104","FRIEDMAN,JAMES ALAN","Adjunct Instructor","Law School","JD 1992 Univ of Wisconsin-Madison"
"1105","FRIEDMAN,MATTHEW L.","Assoc Lecturer","Economics","PHD 2015 Univ of Wisconsin-Madison"
"1106","FRIEDMAN,SUSAN","Acad Program Director","Interdis Resh Pgms-Humanities","PHD 1973 Univ of Wisconsin-Madison"
"1107","FRIEDRICH,THOMAS CHRISTIAAN","Professor","Pathobiological Sciences","PHD 2003 Univ of Wisconsin-Madison"
"1108","FRIEDRICHS,KRISTEN R","Clinical Assoc Prof","Pathobiological Sciences","DVM 1991 Univ of Wisconsin-Madison"
"1109","FRIESEN,PAUL DEAN","Professor","Biochemistry","PHD 1983 Univ of Wisconsin-Madison"
"1110","FRITSCH,MICHAEL KEVIN","Professor (CHS)","Pathology&amp;Laboratory Medicine","PHD 1991 Univ of Wisconsin-Madison"
"1111","FROST,NICKOLAS DELMAR","Assistant Professor","Counseling Psychology","PSYD 2017 Univ of Wisconsin-Madison"
"1112","FU,CHAO","Professor","Economics","PHD 2010 University of Pennsylvania"
"1113","FUHREMANN,KRISTEN","Faculty Associate","Accting &amp; Info Sys","MACC 2000 Univ of Wisconsin-Madison"
"1114","FUJIMURA,JOAN","Professor","Sociology","PHD 1986 Univ of California Berkeley"
"1115","FULMER,MIMMI","Professor","Mead Witter School Of Music","MA 1976 New England Cnsrvtry Of Music"
"1116","FULTON,SCOTT","Adjunct Professor","Ms In Biotechnology Degree Prg","MS 1977 Massachusetts Inst Of Tech"
"1117","FUNG,CONRAD","Adjunct Asst Prof","Engr Professional Development","PHD 1986 Univ of Wisconsin-Madison"
"1118","FUNK,LUKE M","Associate Professor","Surgery","MD 2005 Loyola University of Chicago"
"1119","FURUMOTO,DAVID","Professor","Theatre &amp; Drama","MFA 1982 University of Hawaii at Manoa"
"1120","GABAI,JOSHUA","Assoc Lecturer","Curriculum And Instruction","EDM 2019 Univ of Wisconsin-Madison"
"1121","GADDIS,JENNIFER","Assistant Professor","School Of Human Ecology","PHD 2014 Yale University"
"1122","GADE,ANNA MARGARET","Professor","Academic Programs","PHD 1999 University of Chicago"
"1123","GADIKOTA,GREESHMA","Assistant Professor","Civil &amp; Environmental Engr","PHD 2014 Columbia University"
"1124","GAERTNER,FABIO","Associate Professor","Accting &amp; Info Sys","PHD 2011 University of Arizona"
"1125","GAINES,MEG","Dis Clinical Prof","Law School","JD 1983 Univ of Wisconsin-Madison"
"1126","GALIPEAU,JACQUES","Professor","Administration","MD 1988 University of Montreal"
"1127","GALLAGHER III,JOHN SILL","Professor","Astronomy","PHD 1972 Univ of Wisconsin-Madison"
"1128","GALLAGHER,CATHERINE L","Professor (CHS)","Neurology","MD 1993 Univ of Colorado at Denver"
"1129","GALLAGHER,TONJA MARIE","Lecturer","Rehab Psychology &amp; Special Ed","PHD 2008 Univ of Wisconsin-Madison"
"1130","GALLIMORE,CASEY","Assoc Professor (CHS)","Pharmacy","PHARMD 2005 Univ of Wisconsin-Madison"
"1131","GALLIMORE,JONATHAN","Senior Lecturer","Psychology","PHD  Washington State University"
"1132","GAMM,DAVID","Associate Professor","Ophthalmology&amp;Visual Sciences","PHD 1998 Univ of Michigan at Ann Arbor"
"1133","GAMMIE,STEPHEN C.","Professor","Integrative Biology","PHD 1997 University of Washington"
"1134","GANCO,MARTIN","Associate Professor","Management &amp; Human Resources","PHD 2010 Univ of IL at Urbana-Champaign"
"1135","GANGL,AMY ELIZABETH","Senior Lecturer","Political Science","PHD 2001 Univ of Minnesota-Twin Cities"
"1136","GANGNON,RON","Professor","Population Health Sciences","PHD 1998 Univ of Wisconsin-Madison"
"1137","GANT,JESSE","Lecturer","Acad&amp;Prg-Noncredit","MA 2007 New York University"
"1138","GAO,SONG","Assistant Professor","Geography","PHD 2017 U of California-Santa Barbara"
"1139","GARAND,ETIENNE","Associate Professor","Chemistry","PHD 2010 Univ of California Berkeley"
"1140","GARBACZ,ANDY","Associate Professor","Educational Psychology","PHD 2010 University of Nebraska-Lincoln"
"1141","GARCIA TRILLOS,NICOLAS","Assistant Professor","Statistics","PHD 2015 Carnegie-Mellon University"
"1142","GARLOUGH,CHRISTINE","Professor","Gender And Women Studies","PHD 2002 Univ of Minnesota-Twin Cities"
"1143","GAROON,JOSHUA P","Assistant Professor","Community &amp; Environ Sociology","PHD 2009 Johns Hopkins University"
"1144","GARTLAND,SHARON G","Clinical Professor","Kinesiology","PHD 2015 St. Catherine University"
"1145","GARTNER,WILLIAM","Senior Lecturer","Geography","PHD 2011 Univ of Wisconsin-Madison"
"1146","GASCH,AUDREY P.","Professor","Genetics","PHD 2000 Stanford University"
"1147","GASPER,DAVID","Clinical Asst Prof","Pathobiological Sciences","PHD 2015 "
"1148","GATHMAN,CABELL HANKINSON","Lecturer","Gender And Women Studies","PHD 2016 Univ of Wisconsin-Madison"
"1149","GATTENBY,TIM G.","Dis Faculty Associate","Kinesiology","MS 1986 Washington State University"
"1150","GAUDREAU,JOSEPH B","Professor L/I","Civil &amp; Environmental Engr","M.ARCH  "
"1151","GAUTHIER,GREGORY MARK","Assoc Professor (CHS)","Medicine","MD 1999 Ohio State University"
"1152","GE,YING","Professor","Cell And Regenerative Biology","PHD 2002 Cornell University"
"1153","GEAR,NATHAN L","Asst Prof Of Mil Sci","Military Science","BA 2013 Concordia University Wisconsin"
"1154","GEBBIE,MATT","Assistant Professor","Chemical &amp; Biological Engr","PHD  U of California-Santa Barbara"
"1155","GEHLBACH,SCOTT","Professor","Political Science","PHD 2003 Univ of California Berkeley"
"1156","GEHRING,MICHELLE ANN","Faculty Associate","Nursing","PHD 2011 University of Phoenix"
"1157","GEIGER,BENEDIKT","Assistant Professor","Engineering Physics"," "
"1158","GEISLER,MATTHEW D","Lecturer","Counseling Psychology","BS 2000 Michigan State University"
"1159","GELLMAN,SAMUEL H.","Professor","Chemistry","PHD 1986 Columbia University"
"1160","GENNERMAN,REBECCA JO","Clinical Instructor","Law School","MA 2001 Univ of Colorado at Denver"
"1161","GENSKOW,KEN","Professor","Planning &amp; Landscape Arch","PHD 2001 Univ of Wisconsin-Madison"
"1162","GEORGE,MAY","Assoc Faculty Assoc","Inst Reg Intl Studies","PHD 2011 Arizona State University"
"1163","GEORGIADES,ARISTOTLE","Professor","Art","MFA 1984 Sch Of The Art Inst Of Chicago"
"1164","GEPNER,ADAM DAVID","Clinical Instructor","Medicine"," "
"1165","GERA,PRERNA","Visiting Asst Prof","Mathematics","PHD 2017 SUNY at Buffalo"
"1166","GERARD,HEATHER STEPHANY","Adjunct Professor","Ms In Biotechnology Degree Prg","MS 2006 Univ of Wisconsin-Madison"
"1167","GERASSI,LARA","Assistant Professor","Social Work","PHD 2017 Washington University"
"1168","GERBER,THEODORE P.","Professor","Sociology","PHD 1995 Univ of California Berkeley"
"1169","GERHART,BARRY","Professor","Management &amp; Human Resources","PHD 1985 Univ of Wisconsin-Madison"
"1170","GERN,JAMES E.","Professor","Pediatrics","MD 1981 University of South Florida"
"1171","GERNSBACHER,MORTON ANN","Professor","Psychology","PHD 1983 University of Texas at Austin"
"1172","GEVENS,AMANDA JANE","Associate Professor","Plant Pathology","PHD 2005 Michigan State University"
"1173","GEYER,NAOMI","Associate Professor","Asian Languages &amp; Cultures","PHD 2001 Columbia University"
"1174","GHANDHI,JAAL","Professor","Mechanical Engineering","PHD 1995 Princeton University"
"1175","GHOUSSEINI,HALA","Associate Professor","Curriculum And Instruction","PHD 2008 Univ of Michigan at Ann Arbor"
"1176","GIBBS,HOLLY KRISTEN","Associate Professor","Geography","PHD 2008 Univ of Wisconsin-Madison"
"1177","GIBSON,ANGELA LF","Assistant Professor","Surgery","PHD 2007 Univ of Wisconsin-Madison"
"1178","GIBSON,MARTHA","Faculty Associate","Philosophy","PHD 1989 Univ of Wisconsin-Madison"
"1179","GIDAL,BARRY","Professor (CHS)","Pharmacy","PHARMD 1990 University of Washington"
"1180","GILBERT,LEWIS E","Senior Lecturer","Office Of Sustainability"," "
"1181","GILBERT,PUPA","Professor","Physics","PHD 1987 Univ Studi di Roma-La Sapienza"
"1182","GILCHRIST,VALERIE J","Professor","Family Medicine","MD 1977 University of Toronto"
"1183","GILLES,WILLIAM KARL","Sr Outreach Spec","Administration-Dean'S Office","DVM 2013 Univ of Wisconsin-Madison"
"1184","GILLETT,JOHN ROBERT","Senior Lecturer","Statistics","MS 2011 Stanford University"
"1185","GILLIAN,ANNELYNN","Faculty Associate","Engineering Research Center","PHD 1999 Univ of Wisconsin-Madison"
"1186","GILLIE,NAZAN","Faculty Associate","Integrative Biology","PHD 2001 Louisiana State U &amp; A&amp;M Colg"
"1187","GILLIS,COLIN RADCLIFFE","Lecturer","English","PHD 2011 Yale University"
"1188","GILMORE,JANET C.","Professor","Planning &amp; Landscape Arch","PHD 1991 Indiana University"
"1189","GILMORE,NATHANIEL K","Assoc Lecturer","Political Science","PHD  University of Toronto"
"1190","GILROY,SIMON","Professor","Botany","PHD 1987 University of Edinburgh"
"1191","GINDER-VOGEL,MATTHEW","Associate Professor","Civil &amp; Environmental Engr","PHD 2006 Stanford University"
"1192","GINTHER,OLIVER J","Professor","Pathobiological Sciences","PHD 1967 Univ of Wisconsin-Madison"
"1193","GIOIA,CHRISTOPHER","Clinical Assoc Prof","Psychology","PHD 2011 Nova University"
"1194","GIPSON,JENNIFER","Assistant Professor","French And Italian","PHD 2011 Univ of California Berkeley"
"1195","GITTER,ANTHONY","Assistant Professor","Biostatistics&amp;Med Informatics","PHD 2012 Carnegie-Mellon University"
"1196","GIVNISH,THOMAS J.","Professor","Botany","PHD 1976 Princeton University"
"1197","GLADSTONE,BRUCE E.","Senior Lecturer","Mead Witter School Of Music","DMA 1999 Univ of IL at Urbana-Champaign"
"1198","GLASPIE,JODIE","Asst Faculty Assoc","Social Work","MSW 2014 Univ Of Minnesota-St Paul"
"1199","GLAWTSCHEW,REBECCA","Lecturer","Economics","PHD  Univ Of NC At Chapel Hill"
"1200","GLAZER,JEFFREY","Clinical Assoc Prof","Law School","JD 2016 Chicago-Kent College Of Law"
"1201","GLEASON,CAREY E","Associate Professor","Medicine","PHD 1998 CA School of Prof'l Psychology"
"1202","GLEICHER,MICHAEL","Professor","Computer Sciences","PHD 1994 Carnegie-Mellon University"
"1203","GLINBERG,LANNY","Clinical Asst Prof","Law School","JD 2007 Univ of Wisconsin-Madison"
"1204","GLINSMANN,BETHANY","Assoc Faculty Assoc","Agricultural&amp;Applied Economics","MS 2011 Univ of Wisconsin-Madison"
"1205","GLORIA,ALBERTA M.","Professor","Counseling Psychology","PHD 1993 Arizona State University"
"1206","GLOTZER,PAIGE","Assistant Professor","History","PHD 2016 Johns Hopkins University"
"1207","GLOWACKI,GULNARA","Senior Lecturer","German, Nordic &amp; Slavic","PHD 2009 Eurasian National University"
"1208","GLUKHOV,ALEXEY","Assistant Professor","Medicine","PHD 2010 Russian Academy of Sciences"
"1209","GOCEY,JULIE","Clinical Assoc Prof","Pediatrics","MD 1997 Southern IL Univ School of Med"
"1210","GOCMEN,ASLIGUL","Associate Professor","Geography","PHD 2005 Univ of Michigan at Ann Arbor"
"1211","GODFREY,BROOKE","Asst Faculty Assoc","Design Studies","MFA 2008 Univ of Wisconsin-Madison"
"1212","GODING-DOTY,CHRISTINE","Assoc Lecturer","English","MA 2017 Northwestern University"
"1213","GOELLNER,SAMEDI S","Associate Professor","Liberal Arts &amp; Applied Studies","PHD 2005 Univ of Wisconsin-Madison"
"1214","GOFF,PETER","Assistant Professor","Ed Leadership&amp;Policy Analysis","PHD 2012 Vanderbilt University"
"1215","GOFFMAN,ALICE","Assistant Professor","Sociology","PHD 2010 Princeton University"
"1216","GOH,JUN LE","Visiting Asst Prof","Mathematics","PHD 2019 Cornell University"
"1217","GOLAB,HANNA","Assoc Lecturer","Classic &amp; Ancient Near E Stds","PHD 2017 Princeton University"
"1218","GOLDBERG,CHAD ALAN","Professor","Sociology","PHD 2001 New College of Florida"
"1219","GOLDBERG,SIMON","Assistant Professor","Counseling Psychology","PSYD 2017 Univ of Wisconsin-Madison"
"1220","GOLDBERG,TONY","Professor","Pathobiological Sciences","PHD 1996 Harvard University"
"1221","GOLDBERGER,ZACHARY D.","Assoc Professor (CHS)","Medicine","MD 2004 Yale University"
"1222","GOLDEN,JENNIFER","Assistant Professor","Pharmacy","PHD 2015 University of Kansas"
"1223","GOLDEN,ROBERT N","Professor","Psychiatry","MD 1979 Boston University"
"1224","GOLDGEL-CARBALLO,VICTOR","Associate Professor","Spanish And Portuguese","PHD 2009 Univ of California Berkeley"
"1225","GOLDMAN,IRWIN","Professor","Horticulture","PHD 1991 Univ of Wisconsin-Madison"
"1226","GOLDSMITH,AARON","Assoc Lecturer","Mathematics","PHD 2015 Texas A &amp; M University"
"1227","GOLDSMITH,HILL","Professor","Psychology","PHD 1978 Univ of Minnesota-Twin Cities"
"1228","GOLDSMITH,RANDALL H","Associate Professor","Chemistry","PHD 2007 Northwestern University"
"1229","GOLOS,THADDEUS G.","Professor","Comparative Biosciences","PHD 1984 Univ of IL at Urbana-Champaign"
